 Ca (Z = 20) Atomic weight: Ar = 40.08000 g mol-1   Nominal density:   ρ (g cm-3) = 1.5500
    σa(barns/atom) = [μ/ρ](cm2 g-1)  ×  6.65545E+01 
    E(eV) [μ/ρ](cm2 g-1) = f2(e atom-1)  ×  1.04991E+06 
    7 edges. Edge energies (keV):

     
      K      4.03810E+00  L I    4.37800E-01  L II   3.50000E-01  L III  3.46400E-01 
      M I    4.37000E-02  M II   2.54000E-02  M III  2.54000E-02 

    Relativistic correction estimate frel (H82,3/5CL) = -5.8720E-02, -3.6000E-02 e atom-1 
    Nuclear Thomson correction fNT = -5.4748E-03 e atom-1 

Form Factors, Attenuation and Scattering Cross-sections
Z=20, E = 1 - 100 keV

      E            f1          f2        [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
2.904724E+00  1.87401E+01  7.6275E-01  2.7569E+02  2.6519E+00  2.7834E+02  0.000E+00  4.268E-01
3.105150E+00  1.85764E+01  6.7803E-01  2.2925E+02  2.5660E+00  2.3182E+02  0.000E+00  3.993E-01
3.319406E+00  1.83498E+01  5.9753E-01  1.8900E+02  2.4767E+00  1.9148E+02  0.000E+00  3.735E-01
3.548445E+00  1.80080E+01  5.2709E-01  1.5596E+02  2.3848E+00  1.5834E+02  0.000E+00  3.494E-01
3.793288E+00  1.73592E+01  4.6540E-01  1.2881E+02  2.2909E+00  1.3110E+02  0.000E+00  3.269E-01
3.957338E+00  1.62338E+01  4.3026E-01  1.1415E+02  2.2306E+00  1.1638E+02  0.000E+00  3.133E-01
4.017909E+00  1.47223E+01  4.1835E-01  1.0932E+02  2.2089E+00  1.1153E+02  0.000E+00  3.086E-01
4.034062E+00  1.28987E+01  4.1526E-01  1.0808E+02  2.2031E+00  1.1028E+02  0.000E+00  3.073E-01
4.055024E+00  1.45470E+01  4.0127E+00  1.0390E+03  2.1957E+00  1.0412E+03  9.325E+02  3.058E-01
4.058290E+00  1.47569E+01  4.0068E+00  1.0366E+03  2.1945E+00  1.0388E+03  9.303E+02  3.055E-01
4.118862E+00  1.64400E+01  3.8997E+00  9.9405E+02  2.1733E+00  9.9622E+02  8.922E+02  3.010E-01
4.334821E+00  1.80590E+01  3.5640E+00  8.6321E+02  2.0998E+00  8.6531E+02  7.751E+02  2.860E-01
4.633924E+00  1.88984E+01  3.1991E+00  7.2483E+02  2.0037E+00  7.2683E+02  6.518E+02  2.676E-01
4.953664E+00  1.93754E+01  2.8820E+00  6.1083E+02  1.9080E+00  6.1274E+02  5.503E+02  2.503E-01
5.295467E+00  1.96982E+01  2.5972E+00  5.1493E+02  1.8133E+00  5.1674E+02  4.647E+02  2.341E-01
5.660855E+00  1.99227E+01  2.3263E+00  4.3146E+02  1.7199E+00  4.3318E+02  3.898E+02  2.190E-01
6.051453E+00  2.00785E+01  2.0813E+00  3.6110E+02  1.6283E+00  3.6273E+02  3.264E+02  2.049E-01
6.469004E+00  2.01876E+01  1.8605E+00  3.0195E+02  1.5388E+00  3.0349E+02  2.731E+02  1.917E-01
6.915365E+00  2.02632E+01  1.6616E+00  2.5228E+02  1.4519E+00  2.5373E+02  2.283E+02  1.793E-01
7.392525E+00  2.03145E+01  1.4837E+00  2.1072E+02  1.3676E+00  2.1209E+02  1.908E+02  1.677E-01
7.902609E+00  2.03488E+01  1.3249E+00  1.7602E+02  1.2864E+00  1.7731E+02  1.595E+02  1.569E-01
8.447890E+00  2.04090E+01  1.1797E+00  1.4661E+02  1.2083E+00  1.4782E+02  1.329E+02  1.468E-01
9.030794E+00  2.04237E+01  1.0471E+00  1.2173E+02  1.1335E+00  1.2286E+02  1.104E+02  1.373E-01
9.653919E+00  2.04210E+01  9.2433E-01  1.0052E+02  1.0622E+00  1.0158E+02  9.126E+01  1.284E-01
1.032004E+01  2.04108E+01  8.1604E-01  8.3020E+01  9.9438E-01  8.4014E+01  7.544E+01  1.201E-01
1.103212E+01  2.03960E+01  7.2049E-01  6.8568E+01  9.3008E-01  6.9498E+01  6.236E+01  1.124E-01
1.179334E+01  2.03780E+01  6.3616E-01  5.6635E+01  8.6934E-01  5.7504E+01  5.155E+01  1.051E-01
1.260708E+01  2.03582E+01  5.6174E-01  4.6781E+01  8.1211E-01  4.7593E+01  4.261E+01  9.834E-02
1.347697E+01  2.03376E+01  4.9605E-01  3.8644E+01  7.5836E-01  3.9402E+01  3.522E+01  9.200E-02
1.440688E+01  2.03166E+01  4.3807E-01  3.1924E+01  7.0801E-01  3.2632E+01  2.911E+01  8.606E-02
1.540095E+01  2.02959E+01  3.8688E-01  2.6374E+01  6.6099E-01  2.7035E+01  2.407E+01  8.050E-02
1.646362E+01  2.02759E+01  3.4169E-01  2.1790E+01  6.1718E-01  2.2407E+01  1.989E+01  7.531E-02
1.759961E+01  2.02569E+01  3.0162E-01  1.7993E+01  5.7646E-01  1.8569E+01  1.643E+01  7.045E-02
1.881398E+01  2.02384E+01  2.6458E-01  1.4765E+01  5.3872E-01  1.5304E+01  1.348E+01  6.590E-02
2.011215E+01  2.02201E+01  2.3209E-01  1.2116E+01  5.0380E-01  1.2620E+01  1.106E+01  6.165E-02
2.149988E+01  2.02026E+01  2.0359E-01  9.9419E+00  4.7158E-01  1.0413E+01  9.073E+00  5.767E-02
2.298338E+01  2.01860E+01  1.7860E-01  8.1585E+00  4.4189E-01  8.6004E+00  7.443E+00  5.395E-02
2.456923E+01  2.01706E+01  1.5668E-01  6.6953E+00  4.1461E-01  7.1099E+00  6.106E+00  5.046E-02
2.626450E+01  2.01564E+01  1.3745E-01  5.4947E+00  3.8956E-01  5.8843E+00  5.009E+00  4.721E-02
2.807676E+01  2.01430E+01  1.1986E-01  4.4820E+00  3.6661E-01  4.8486E+00  4.086E+00  4.416E-02
3.001405E+01  2.01302E+01  1.0431E-01  3.6488E+00  3.4562E-01  3.9944E+00  3.327E+00  4.131E-02
3.208502E+01  2.01182E+01  9.0778E-02  2.9705E+00  3.2643E-01  3.2969E+00  2.709E+00  3.864E-02
3.429889E+01  2.01071E+01  7.9005E-02  2.4184E+00  3.0890E-01  2.7273E+00  2.205E+00  3.615E-02
3.666551E+01  2.00969E+01  6.8760E-02  1.9689E+00  2.9292E-01  2.2618E+00  1.796E+00  3.381E-02
3.919543E+01  2.00875E+01  5.9846E-02  1.6031E+00  2.7834E-01  1.8814E+00  1.462E+00  3.163E-02
4.189992E+01  2.00789E+01  5.2088E-02  1.3052E+00  2.6505E-01  1.5702E+00  1.190E+00  2.959E-02
4.479101E+01  2.00711E+01  4.5337E-02  1.0627E+00  2.5294E-01  1.3156E+00  9.691E-01  2.768E-02
4.788159E+01  2.00639E+01  3.9461E-02  8.6527E-01  2.4188E-01  1.1072E+00  7.890E-01  2.589E-02
5.118542E+01  2.00575E+01  3.4348E-02  7.0454E-01  2.3179E-01  9.3633E-01  6.424E-01  2.422E-02
5.471721E+01  2.00516E+01  2.9897E-02  5.7367E-01  2.2256E-01  7.9623E-01  5.230E-01  2.266E-02
5.849270E+01  2.00463E+01  2.6024E-02  4.6712E-01  2.1411E-01  6.8123E-01  4.259E-01  2.120E-02
6.252870E+01  2.00415E+01  2.2653E-02  3.8037E-01  2.0636E-01  5.8673E-01  3.467E-01  1.983E-02
6.684318E+01  2.00372E+01  1.9719E-02  3.0973E-01  1.9923E-01  5.0896E-01  2.823E-01  1.855E-02
7.145536E+01  2.00333E+01  1.7165E-02  2.5221E-01  1.9265E-01  4.4486E-01  2.298E-01  1.735E-02
7.638578E+01  2.00298E+01  1.4942E-02  2.0538E-01  1.8656E-01  3.9194E-01  1.871E-01  1.623E-02
8.165640E+01  2.00267E+01  1.2994E-02  1.6708E-01  1.8090E-01  3.4798E-01  1.522E-01  1.518E-02
8.729069E+01  2.00239E+01  1.1274E-02  1.3561E-01  1.7562E-01  3.1123E-01  1.236E-01  1.420E-02
9.331374E+01  2.00213E+01  9.7822E-03  1.1006E-01  1.7068E-01  2.8074E-01  1.003E-01  1.329E-02
9.975239E+01  2.00190E+01  8.4877E-03  8.9334E-02  1.6602E-01  2.5535E-01  8.140E-02  1.243E-02

